geography_type,geography_name,year,animal,count
New Zealand,New Zealand,1971,Beef cattle,4796000
New Zealand,New Zealand,1972,Beef cattle,5344000
New Zealand,New Zealand,1973,Beef cattle,5765000
New Zealand,New Zealand,1974,Beef cattle,6237000
New Zealand,New Zealand,1975,Beef cattle,6294000
New Zealand,New Zealand,1976,Beef cattle,6087000
New Zealand,New Zealand,1977,Beef cattle,5839000
New Zealand,New Zealand,1978,Beef cattle,5507275
New Zealand,New Zealand,1979,Beef cattle,5122316
New Zealand,New Zealand,1980,Beef cattle,5162261
New Zealand,New Zealand,1981,Beef cattle,5113419
New Zealand,New Zealand,1982,Beef cattle,4905639
New Zealand,New Zealand,1983,Beef cattle,4496559
New Zealand,New Zealand,1984,Beef cattle,4530565
New Zealand,New Zealand,1985,Beef cattle,4613120
New Zealand,New Zealand,1986,Beef cattle,4880831
New Zealand,New Zealand,1987,Beef cattle,4804178
New Zealand,New Zealand,1988,Beef cattle,4858168
New Zealand,New Zealand,1989,Beef cattle,4526056
New Zealand,New Zealand,1990,Beef cattle,4593160
New Zealand,New Zealand,1991,Beef cattle,4670569
New Zealand,New Zealand,1992,Beef cattle,4676497
New Zealand,New Zealand,1993,Beef cattle,4757962
New Zealand,New Zealand,1994,Beef cattle,5047848
New Zealand,New Zealand,1995,Beef cattle,5182508
New Zealand,New Zealand,1996,Beef cattle,4852179
New Zealand,New Zealand,1997,Beef cattle,NA
New Zealand,New Zealand,1998,Beef cattle,NA
New Zealand,New Zealand,1999,Beef cattle,4643705
New Zealand,New Zealand,2000,Beef cattle,NA
New Zealand,New Zealand,2001,Beef cattle,NA
New Zealand,New Zealand,2002,Beef cattle,4491281
New Zealand,New Zealand,2003,Beef cattle,4626617
New Zealand,New Zealand,2004,Beef cattle,4447400
New Zealand,New Zealand,2005,Beef cattle,4423626
New Zealand,New Zealand,2006,Beef cattle,4439136
New Zealand,New Zealand,2007,Beef cattle,4393617
New Zealand,New Zealand,2008,Beef cattle,4136872
New Zealand,New Zealand,2009,Beef cattle,4100718
New Zealand,New Zealand,2010,Beef cattle,3948520
New Zealand,New Zealand,2011,Beef cattle,3846414
New Zealand,New Zealand,2012,Beef cattle,3734412
New Zealand,New Zealand,2013,Beef cattle,3698522
New Zealand,New Zealand,2014,Beef cattle,3669862
New Zealand,New Zealand,2015,Beef cattle,3547228
New Zealand,New Zealand,2016,Beef cattle,3533054
New Zealand,New Zealand,2017,Beef cattle,3616091
New Zealand,New Zealand,2018,Beef cattle,3721262
New Zealand,New Zealand,2019,Beef cattle,3889996
Region,Auckland,1990,Beef cattle,289594
Region,Auckland,1991,Beef cattle,287462
